product_no,index,stock,price_change,color,size,other_option
6172,15,3,49000,퍼플,XL(105),
6172,16,9,49000,퍼플,2XL(110),
6172,17,1,49000,퍼플,3XL(115),
6170,0,17,45000,블루,3XS(75),
6170,1,8,45000,블루,2XS(80),
6170,2,3,45000,블루,XS(85),
6170,3,20,45000,블루,S(90),
6170,4,3,45000,블루,M(95),
6170,5,9,45000,블루,L(100),
6170,6,4,45000,블루,XL(105),
6170,7,3,45000,블루,2XL(110),
6170,8,17,45000,블루,3XL(115),
6170,9,3,45000,네이비,3XS(75),
6170,10,7,45000,네이비,2XS(80),
6170,11,11,45000,네이비,XS(85),
6170,12,10,45000,네이비,S(90),
6170,13,12,45000,네이비,M(95),
6170,14,4,45000,네이비,L(100),
6170,15,9,45000,네이비,XL(105),
6170,16,11,45000,네이비,2XL(110),
6170,17,6,45000,네이비,3XL(115),
6169,0,8,35000,블루,3XS(75),
6169,1,10,35000,블루,2XS(80),
6169,2,19,35000,블루,XS(85),
6169,3,18,35000,블루,S(90),
6169,4,11,35000,블루,M(95),
6169,5,8,35000,블루,L(100),
6169,6,1,35000,블루,XL(105),
6169,7,13,35000,블루,2XL(110),
6169,8,2,35000,블루,3XL(115),
6169,9,11,35000,핑크,3XS(75),
6169,10,5,35000,핑크,2XS(80),
6169,11,9,35000,핑크,XS(85),
6169,12,4,35000,핑크,S(90),
6169,13,16,35000,핑크,M(95),
6169,14,6,35000,핑크,L(100),
6169,15,12,35000,핑크,XL(105),
6169,16,7,35000,핑크,2XL(110),
6169,17,15,35000,핑크,3XL(115),
6169,18,13,35000,차콜,3XS(75),
6169,19,1,35000,차콜,2XS(80),
6169,20,16,35000,차콜,XS(85),
6169,21,20,35000,차콜,S(90),
6169,22,2,35000,차콜,M(95),
6169,23,10,35000,차콜,L(100),
6169,24,8,35000,차콜,XL(105),
6169,25,5,35000,차콜,2XL(110),
6169,26,13,35000,차콜,3XL(115),
6168,0,2,45000,블루,3XS(75),
6168,1,13,45000,블루,2XS(80),
6168,2,7,45000,블루,XS(85),
6168,3,1,45000,블루,S(90),
6168,4,8,45000,블루,M(95),
